CODIGO;ATIVO;TIPO;ID_LOCALIZACAO;QUARTOS;SUITE;AREA_TERRENO;AREA_CONSTRUIDA;VALOR;VALOR_M2;PISCINA_IMOVEL;CHURRASQUEIRA;CONDOMINIO;ALTO_PADRAO;STATUS
JA1403;DISPONÍVEL;CASA;17;3;1;480,0;100,0;650000;6500,0;0;1;0;0;NOVO
JA1523;DISPONÍVEL;CASA;4;3;1;240,0;120,0;650000;5416,666666666667;0;1;0;1;NOVO
JA1424;VENDIDO;CASA;14;3;1;300,0;130,0;760000;5846,153846153846;0;1;0;1;NOVO
JA1272;VENDIDO;CASA;4;2;1;120,0;70,0;300000;4285,714285714285;0;1;0;0;NOVO
REC003;VENDIDO;CASA;31;3;1;480,0;120,0;550000;4583,333333333333;1;1;0;0;USADO
SOL004;DISPONÍVEL;CASA;9;3;1;450,0;150,0;1200000;8000,0;0;1;1;1;NOVO
ALPHA024;DISPONÍVEL;CASA;12;3;1;360,0;171,0;1280000;7485,380116959064;1;1;1;0;NOVO
JA1420;VENDIDO;CASA;4;2;1;150,0;65,0;310000;4769,2307692307695;0;1;0;0;NOVO
IN088;VENDIDO;DUPLEX;11;2;0;120,0;70,0;365000;5214,285714285715;0;0;0;0;NOVO
BAR061;DISPONÍVEL;DUPLEX;28;3;1;360,0;250,0;500000;2000,0;1;1;0;0;USADO
ALPHA001;VENDIDO;CASA;12;3;1;360,0;160,0;890000;5562,5;1;1;1;1;NOVO
ALPHA002;VENDIDO;CASA;12;3;1;400,0;200,0;1200000;6000,0;1;1;1;1;NOVO
ALPHA003;VENDIDO;CASA;12;3;1;400,0;200,0;1250000;6250,0;1;1;1;1;NOVO
JA1387;VENDIDO;CASA;17;2;1;160,0;80,0;340000;4250,0;0;1;0;0;NOVO
RV013;VENDIDO;CASA;43;2;1;406,0;86,0;330000;3837,2093023255816;0;0;0;0;NOVO
SOL006;DISPONÍVEL;CASA;2;4;1;360,0;280,0;1300000;4642,857142857143;0;1;1;1;USADO
JA1590;VENDIDO;CASA;17;3;1;480,0;150,0;765000;5100,0;0;1;0;0;NOVO
FLA007;VENDIDO;CASA;66;3;1;500,0;120,0;480000;4000,0;1;1;1;0;NOVO
JA1528;DISPONÍVEL;CASA;14;3;1;300,0;120,0;650000;5416,666666666667;0;1;0;1;NOVO
JA1555;DISPONÍVEL;CASA;4;3;1;480,0;130,0;650000;5000,0;0;1;0;0;NOVO
JA1602;DISPONÍVEL;CASA;4;3;1;480,0;120,0;780000;6500,0;0;1;0;0;NOVO
JA1288;VENDIDO;CASA;17;3;1;480,0;150,0;790000;5266,666666666667;1;1;0;1;NOVO
ALPHA022;DISPONÍVEL;CASA;62;3;2;360,0;174,0;1300000;7471,264367816092;1;1;1;1;NOVO
IN065;VENDIDO;CASA;3;2;1;360,0;72,0;330000;4583,333333333333;0;0;1;0;USADO
JA1563;VENDIDO;CASA;17;3;1;480,0;128,0;795000;6210,9375;1;1;0;1;NOVO
ALPHA025;DISPONÍVEL;CASA;12;3;1;360,0;150,0;1400000;9333,333333333334;1;1;1;0;NOVO
JA1321;VENDIDO;CASA;4;2;1;225,0;80,0;440000;5500,0;0;1;0;0;NOVO
ALPHA26;DISPONÍVEL;CASA;67;3;1;360,0;186,0;1490000;8010,752688172043;1;1;1;0;NOVO
SB236;VENDIDO;CASA;1;2;1;240,0;100,0;450000;4500,0;0;1;0;0;NOVO
JA1506;VENDIDO;CASA;17;2;1;360,0;130,0;799000;6146,153846153846;0;1;0;1;NOVO
JA1607;DISPONÍVEL;CASA;4;3;1;480,0;120,0;650000;5416,666666666667;0;1;0;0;NOVO
JA1506;VENDIDO;CASA;17;2;1;400,0;100,0;799000;7990,0;0;1;0;1;NOVO
JA1605;DISPONÍVEL;CASA;4;3;1;480,0;120,0;800000;6666,666666666667;0;1;0;0;NOVO
JA1361;VENDIDO;CASA;14;4;1;480,0;260,0;830000;3192,3076923076924;1;1;0;0;NOVO
JA1335;VENDIDO;CASA;14;3;1;300,0;170,0;850000;5000,0;1;1;0;1;NOVO
JA1608;DISPONÍVEL;CASA;4;3;1;480,0;100,0;650000;6500,0;0;1;0;0;NOVO
JA1322;VENDIDO;CASA;4;2;1;225,0;80,0;440000;5500,0;0;0;0;0;NOVO
JA1611;DISPONÍVEL;CASA;4;3;1;480,0;100,0;650000;6500,0;0;1;0;0;NOVO
ALPHA020;DISPONÍVEL;CASA;12;4;1;360,0;180,0;1500000;8333,333333333334;1;1;1;1;USADO
JA1583;DISPONÍVEL;CASA;14;3;1;300,0;150,0;850000;5666,666666666667;1;1;0;0;USADO
JA1310;VENDIDO;CASA;4;2;1;225,0;70,0;450000;6428,571428571428;0;1;0;0;NOVO
JA1539;DISPONÍVEL;CASA;1;2;1;240,0;120,0;650000;5416,666666666667;1;1;0;0;USADO
JA1575;VENDIDO;CASA;4;3;1;480,0;150,0;850000;5666,666666666667;1;1;0;1;NOVO
TER046;DISPONÍVEL;TERRENO MULTIFAMILIAR;1;0;0;480,0;0,0;240000;0,0;0;0;0;0;NOVO
SB215;DISPONÍVEL;DUPLEX;1;2;2;120,0;80,0;430000;5375,0;0;1;0;0;USADO
JA1485;VENDIDO;DUPLEX;4;3;2;300,0;120,0;570000;4750,0;0;1;0;0;USADO
SB233;VENDIDO;CASA;1;3;1;240,0;95,0;650000;6842,105263157895;0;1;0;1;NOVO
JA1998;DISPONÍVEL;CASA;17;2;0;480,0;100,0;650000;6500,0;0;1;0;0;NOVO
JA1578;DISPONÍVEL;CASA;4;3;3;480,0;130,0;870000;6692,307692307692;0;1;0;0;NOVO
JA1621;DISPONÍVEL;CASA;17;3;1;480,0;120,0;878000;7316,666666666667;1;1;0;0;NOVO
JA1141;VENDIDO;DUPLEX;4;5;1;600,0;400,0;1000000;2500,0;1;1;0;0;USADO
SB225;VENDIDO;DUPLEX;1;2;2;120,0;85,0;390000;4588,235294117647;0;1;0;0;NOVO
SB225;VENDIDO;DUPLEX;1;2;2;120,0;85,0;410000;4823,529411764706;0;1;0;0;NOVO
